127.0.0.1 - - [03/Nov/2023:16:44:46 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:44:47 +0530] "GET /Libraryinfinite/AddUser.jsp HTTP/1.1" 200 1080
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:44:47 +0530] "GET /Libraryinfinite/Login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:45:09 +0530] "GET /Libraryinfinite/Login.jsp HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:45:12 +0530] "POST /Libraryinfinite/Login.jsp HTTP/1.1" 500 4476
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:45:16 +0530] "GET /Libraryinfinite/AddUser.jsp HTTP/1.1" 200 1080
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:45:24 +0530] "GET /Libraryinfinite/Login.jsp HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:45:30 +0530] "POST /Libraryinfinite/Login.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:45:30 +0530] "GET /Libraryinfinite/Menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:45:34 +0530] "GET /Libraryinfinite/Search.jsp HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:45:50 +0530] "GET /Libraryinfinite/SearchPrint.jsp?searchtype=all&searchvalue= HTTP/1.1" 200 9509
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:45:50 +0530] "GET /fonts/OpenSans/OpenSans-Regular.ttf HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:45:57 +0530] "GET /Libraryinfinite/index.html HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:46:01 +0530] "GET /Libraryinfinite/Search.jsp HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:47:15 +0530] "GET /Libraryinfinite/AccountDetails.jsp HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:47:18 +0530] "GET /Libraryinfinite/Search.jsp HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:47:19 +0530] "GET /Libraryinfinite/Return.jsp HTTP/1.1" 200 1717
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:47:20 +0530] "GET /Libraryinfinite/AccountDetails.jsp HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:47:23 +0530] "GET /Libraryinfinite/History.jsp HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:47:23 +0530] "GET /fonts/OpenSans/OpenSans-Regular.ttf HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:47:23 +0530] "GET /Libraryinfinite/Return.jsp HTTP/1.1" 200 1717
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:47:25 +0530] "GET /Libraryinfinite/Search.jsp HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:47:26 +0530] "GET /Libraryinfinite/AccountDetails.jsp HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:47:28 +0530] "GET /Libraryinfinite/Search.jsp HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:47:31 +0530] "GET /Libraryinfinite/SearchPrint.jsp?searchtype=all&searchvalue= HTTP/1.1" 200 9509
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:47:31 +0530] "GET /fonts/OpenSans/OpenSans-Regular.ttf HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:47:42 +0530] "GET /Libraryinfinite/index.html HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [03/Nov/2023:16:47:48 +0530] "GET /Libraryinfinite/index.html HTTP/1.1" 404 1104
